pdbcode,-log[Ki or Kd or IC50],dataset,binding constant type,data sign
1tng,2.93,refined,Ki,=
3aru,3.22,refined,Kd,=
4ts1,4.94,refined,Kd,=
3wmc,6.51,refined,Ki,=
2vh0,8.51,refined,Ki,=
3dnt,4.74,refined,Kd,=
1kpm,5.80,refined,Ki,=
3ccw,7.87,refined,Kd,=
3g2l,3.87,refined,Ki,=
4epy,3.47,refined,Kd,=
3bl0,6.92,refined,Ki,=
1zog,7.15,refined,Ki,=
4tz2,3.46,refined,Kd,=
4bj8,8.29,refined,Kd,=
2ce9,6.03,refined,Kd,=
1gi4,7.19,refined,Ki,=
3nee,5.34,refined,Kd,=
4ygf,7.68,refined,Ki,=
4exs,4.41,refined,Ki,=
3n9s,5.26,refined,Kd,=
3g34,2.96,refined,Ki,=
3rf4,6.25,refined,Ki,=
3nu4,8.82,refined,Ki,=
4gzx,3.19,refined,Kd,=
3kek,8.36,refined,Ki,=
2al5,8.40,refined,Ki,=
3d0e,8.40,refined,Ki,=
2ctc,3.89,refined,Ki,=
2v3u,3.00,refined,Kd,=
4er2,9.30,refined,Ki,=
2h6t,7.22,refined,Ki,=
1uou,7.70,refined,Ki,=
3rt8,6.35,refined,Ki,=
1bnt,9.80,refined,Kd,=
4qp2,3.03,refined,Kd,=
4in9,4.97,refined,Ki,=
3ml2,8.05,refined,Ki,=
4k7o,4.30,refined,Kd,=
3f5k,4.62,refined,Ki,=
3m35,7.22,refined,Ki,=
4b8y,8.05,refined,Kd,=
4kiu,3.85,refined,Ki,=
4tt2,4.66,refined,Kd,=
2w7y,6.08,refined,Kd,=
5bwc,7.21,refined,Ki,=
4j46,5.28,refined,Ki,=
4kwf,4.82,refined,Ki,=
4tkb,5.59,refined,Kd,=
1g98,5.70,refined,Ki,=
5e13,4.24,refined,Ki,=
3hmo,7.52,refined,Kd,=
3hkn,5.35,refined,Ki,=
4gah,6.10,refined,Kd,=
4llx,2.89,refined,Ki,=
4hy1,8.70,refined,Ki,=
2byr,8.55,refined,Kd,=
4few,5.21,refined,Ki,=
2j7e,7.32,refined,Kd,=
4i3z,4.29,refined,Kd,=
3re4,7.40,refined,Kd,=
3up2,7.40,refined,Kd,=
1koj,6.70,refined,Ki,=
4l50,6.06,refined,Kd,=
4ewn,6.70,refined,Kd,=
1atr,6.96,refined,Kd,=
187l,3.37,refined,Kd,=
1q72,6.85,refined,Kd,=
4q46,3.77,refined,Kd,=
4zj4,8.10,refined,Ki,=
2weq,5.90,refined,Kd,=
3nkk,4.70,refined,Kd,=
3cd5,7.90,refined,Kd,=
4b5d,7.89,refined,Ki,=
5er2,6.57,refined,Ki,=
4fai,6.99,refined,Ki,=
3gk1,4.10,refined,Kd,=
1b0h,6.70,refined,Kd,=
4gu6,7.36,refined,Kd,=
4djq,10.32,refined,Ki,=
3efs,5.34,refined,Kd,=
3dc3,8.31,refined,Ki,=
3zln,8.47,refined,Kd,=
3lpp,6.22,refined,Ki,=
4mmp,7.71,refined,Kd,=
1y0l,9.00,refined,Kd,=
4fl1,3.28,refined,Kd,=
4og4,6.02,refined,Kd,=
4cwr,8.30,refined,Ki,=
2xdk,3.60,refined,Kd,=
5acy,8.19,refined,Kd,=
2xb7,9.19,refined,Ki,=
2qtt,4.32,refined,Ki,=
2i3i,7.30,refined,Ki,=
3hfb,7.52,refined,Ki,=
1kuk,3.91,refined,Ki,=
4jz1,6.70,refined,Ki,=
1jaq,4.48,refined,Ki,=
1hee,5.34,refined,Ki,=
4emr,7.49,refined,Kd,=
3zcl,8.00,refined,Ki,=
4xtz,9.82,refined,Kd,=
3fv3,9.52,refined,Ki,=
2vh6,9.70,refined,Ki,=
4kz7,2.49,refined,Ki,=
3d1z,8.80,refined,Ki,=
1hvs,10.30,refined,Ki,=
3qx5,4.20,refined,Ki,=
1f73,2.39,refined,Ki,=
2c80,5.33,refined,Kd,=
4fp1,4.57,refined,Ki,=
3u7l,7.28,refined,Ki,=
3dri,4.42,refined,Kd,=
1gfy,5.08,refined,Ki,=
3fuc,9.72,refined,Kd,=
4av4,7.03,refined,Kd,=
2pk5,10.70,refined,Kd,=
3w9k,6.32,refined,Kd,=
1c5x,6.68,refined,Ki,=
1mu6,8.38,refined,Ki,=
3gjw,8.30,refined,Ki,=
3guz,4.38,refined,Kd,=
3h1x,5.89,refined,Kd,=
4lko,8.22,refined,Ki,=
4pow,6.30,refined,Kd,=
1m48,5.09,refined,Kd,=
2qnq,6.11,refined,Ki,=
3bvb,5.49,refined,Kd,=
4ayu,4.73,refined,Kd,=
1o2h,7.17,refined,Ki,=
1f4g,6.48,refined,Ki,=
4isu,3.68,refined,Ki,=
4o2b,5.74,refined,Ki,=
3gc4,7.60,refined,Ki,=
4trc,4.52,refined,Kd,=
4ea2,6.44,refined,Ki,=
3wtm,7.00,refined,Kd,=
1w9v,6.34,refined,Kd,=
1d9i,9.11,refined,Ki,=
2o4z,6.25,refined,Ki,=
2wqp,5.51,refined,Ki,=
1wm1,6.30,refined,Ki,=
3ucj,6.00,refined,Ki,=
1bzc,4.92,refined,Ki,=
4a6b,8.38,refined,Ki,=
1uho,9.22,refined,Kd,=
4r59,7.96,refined,Ki,=
2vwm,7.03,refined,Ki,=
1s89,5.24,refined,Ki,=
1ikt,3.40,refined,Kd,=
2nnd,6.06,refined,Kd,=
4kni,7.78,refined,Kd,=
3t1m,3.04,refined,Kd,=
4uoh,4.77,refined,Kd,=
5c5t,3.13,refined,Kd,=
3fvk,8.82,refined,Ki,=
1nu3,4.00,refined,Ki,=
4w52,3.76,refined,Kd,=
4p3h,6.00,refined,Kd,=
4zl4,7.86,refined,Kd,=
3jzh,3.40,refined,Kd,=
1h1d,8.22,refined,Ki,=
5fl5,8.19,refined,Ki,=
3i5z,8.70,refined,Ki,=
3pgl,5.30,refined,Ki,=
4ejl,5.14,refined,Kd,=
2nn7,6.52,refined,Kd,=
2wuf,4.29,refined,Kd,=
1grp,3.72,refined,Ki,=
4bb9,6.00,refined,Kd,=
3ioe,3.27,refined,Kd,=
3vhk,4.60,refined,Ki,=
2i6b,7.17,refined,Kd,=
5am7,7.19,refined,Kd,=
2hzl,6.57,refined,Kd,=
3d6p,3.75,refined,Ki,=
3ekx,9.41,refined,Kd,=
1utn,3.49,refined,Kd,=
4ouj,2.86,refined,Kd,=
3a1e,2.66,refined,Kd,=
3zqe,4.23,refined,Kd,=
2wej,6.08,refined,Kd,=
3zxz,8.40,refined,Ki,=
4urz,2.52,refined,Kd,=
1oar,7.40,refined,Kd,=
1i9q,8.41,refined,Kd,=
2wvz,4.02,refined,Ki,=
2wzf,7.00,refined,Kd,=
1kv1,5.94,refined,Kd,=
4avh,7.23,refined,Kd,=
1b7h,8.02,refined,Kd,=
4yhq,8.77,refined,Ki,=
2p16,10.10,refined,Ki,=
4b7j,7.95,refined,Ki,=
4ufj,4.28,refined,Ki,=
3p8p,4.55,refined,Kd,=
4hw3,6.49,refined,Ki,=
1g46,8.80,refined,Kd,=
3lc3,5.23,refined,Ki,=
4u5n,2.48,refined,Kd,=
3s45,8.49,refined,Ki,=
4pfu,6.17,refined,Kd,=
1w3j,6.32,refined,Kd,=
3ppm,9.54,refined,Ki,=
4ase,11.00,refined,Ki,=
1h5v,3.93,refined,Ki,=
1rjk,10.00,refined,Ki,=
3ryx,8.14,refined,Kd,=
5cas,8.85,refined,Ki,=
1uj6,3.05,refined,Ki,=
2pqc,5.74,refined,Kd,=
3wtj,6.53,refined,Kd,=
4nbl,6.33,refined,Kd,=
1odi,4.21,refined,Kd,=
1m7y,10.96,refined,Kd,=
2i4d,11.68,refined,Ki,=
4cpt,7.70,refined,Ki,=
3zns,7.41,refined,Ki,=
3adv,3.03,refined,Kd,=
1fh8,6.89,refined,Ki,=
5bs4,11.00,refined,Kd,=
2pu1,5.85,refined,Ki,=
3ozs,5.33,refined,Ki,=
3hl8,4.49,refined,Ki,=
1b52,7.12,refined,Kd,=
4u4x,5.01,refined,Kd,=
2xmy,9.96,refined,Ki,=
2w47,4.98,refined,Kd,=
2vj8,8.70,refined,Ki,=
5aba,2.98,refined,Kd,=
3u7k,7.07,refined,Ki,=
2sim,3.42,refined,Ki,=
4u6z,5.41,refined,Ki,=
2cbu,5.68,refined,Kd,=
2vw2,3.30,refined,Ki,=
3b24,4.38,refined,Kd,=
3cdb,7.02,refined,Kd,=
4kwg,6.00,refined,Ki,=
3ctt,6.35,refined,Ki,=
4cu8,4.47,refined,Ki,=
4fl2,3.66,refined,Kd,=
3gdt,7.19,refined,Ki,=
4kao,6.11,refined,Kd,=
1str,4.77,refined,Kd,=
4ovg,3.69,refined,Ki,=
4acc,7.70,refined,Ki,=
1tok,2.47,refined,Kd,=
3kmy,4.49,refined,Kd,=
3tmk,6.87,refined,Kd,=
3gm0,7.77,refined,Kd,=
4ww8,10.17,refined,Kd,=
3hvh,8.52,refined,Ki,=
1kzn,8.92,refined,Kd,=
1d4l,8.77,refined,Ki,=
3ljg,7.73,refined,Ki,=
1q1g,8.57,refined,Kd,=
184l,4.72,refined,Kd,=
2aqu,9.32,refined,Ki,=
2e91,6.59,refined,Ki,=
3tt4,8.28,refined,Ki,=
2vwo,7.51,refined,Ki,=
5alb,10.71,refined,Kd,=
2wzm,5.22,refined,Ki,=
3tsk,7.17,refined,Kd,=
4ghi,7.09,refined,Kd,=
2oi0,7.55,refined,Ki,=
4dkq,6.60,refined,Kd,=
1kv5,4.22,refined,Ki,=
4hdb,8.05,refined,Ki,=
3o9a,10.70,refined,Ki,=
1hbv,6.37,refined,Ki,=
4tu4,3.76,refined,Kd,=
3uz5,7.22,refined,Ki,=
1t31,8.64,refined,Ki,=
3v2q,6.29,refined,Kd,=
4e4n,9.05,refined,Ki,=
1qbo,7.74,refined,Ki,=
2e5y,5.85,refined,Kd,=
4dff,7.46,refined,Ki,=
4a95,5.76,refined,Ki,=
4loi,6.77,refined,Kd,=
4kwo,6.45,refined,Ki,=
4w9i,5.96,refined,Kd,=
2wjg,7.10,refined,Kd,=
1eld,6.70,refined,Ki,=
3n76,6.85,refined,Ki,=
3t84,6.97,refined,Ki,=
4jv6,6.66,refined,Kd,=
3old,5.90,refined,Ki,=
3rtf,7.35,refined,Ki,=
1k6v,6.92,refined,Kd,=
3g2h,3.82,refined,Ki,=
4zx1,6.14,refined,Ki,=
2pou,7.42,refined,Ki,=
4cig,3.67,refined,Kd,=
2boh,8.52,refined,Ki,=
2ate,7.07,refined,Kd,=
4kp8,5.48,refined,Kd,=
3g3r,6.48,refined,Kd,=
3kjd,8.54,refined,Kd,=
2g72,6.50,refined,Ki,=
4rd0,6.62,refined,Kd,=
1e2l,4.29,refined,Ki,=
1qxl,7.96,refined,Ki,=
1sb1,6.89,refined,Ki,=
4omc,10.78,refined,Ki,=
3k5x,6.41,refined,Ki,=
2o4n,7.82,refined,Kd,=
4n5d,3.22,refined,Kd,=
3vd9,4.00,refined,Ki,=
1mmr,5.40,refined,Ki,=
2r2w,4.47,refined,Ki,=
2hnc,7.22,refined,Ki,=
3f7h,7.09,refined,Ki,=
3b67,8.85,refined,Ki,=
3wgg,4.40,refined,Kd,=
1b8y,7.85,refined,Ki,=
3ny3,4.71,refined,Kd,=
4q1y,10.35,refined,Ki,=
4oc0,6.50,refined,Ki,=
4cd5,6.71,refined,Ki,=
4z6h,6.21,refined,Kd,=
3qtv,4.65,refined,Ki,=
3u90,4.62,refined,Kd,=
2pgz,5.74,refined,Kd,=
4ra1,5.94,refined,Kd,=
3m1k,5.39,refined,Ki,=
2xd9,6.46,refined,Ki,=
1xge,4.68,refined,Kd,=
3nes,5.62,refined,Kd,=
2q63,7.18,refined,Kd,=
3lq2,5.22,refined,Kd,=
3b65,9.27,refined,Ki,=
1j17,5.22,refined,Ki,=
4ibb,3.57,refined,Kd,=
3njq,4.89,refined,Kd,=
3lbz,3.86,refined,Kd,=
4pop,8.13,refined,Kd,=
3f8c,7.68,refined,Kd,=
2f34,6.89,refined,Kd,=
4pv5,6.54,refined,Ki,=
1pkx,6.92,refined,Ki,=
1g4j,8.70,refined,Kd,=
2e94,8.00,refined,Ki,=
3iob,3.42,refined,Kd,=
4ngp,7.96,refined,Ki,=
2yxj,9.30,refined,Ki,=
1pa9,4.60,refined,Ki,=
1b05,7.12,refined,Kd,=
4rfd,8.05,refined,Ki,=
2pvl,7.62,refined,Ki,=
2vwl,7.02,refined,Ki,=
3fjz,4.05,refined,Ki,=
3p2e,6.22,refined,Kd,=
3mho,6.49,refined,Kd,=
3tif,5.38,refined,Kd,=
1okl,6.03,refined,Kd,=
4qlk,3.24,refined,Ki,=
2hah,8.00,refined,Ki,=
1ugx,5.91,refined,Kd,=
1utj,3.84,refined,Kd,=
1jeu,6.82,refined,Kd,=
1pxp,6.66,refined,Ki,=
4b6s,6.01,refined,Ki,=
3s0e,6.55,refined,Kd,=
4dst,2.96,refined,Kd,=
2wq5,3.74,refined,Kd,=
4der,6.31,refined,Kd,=
2gyi,7.00,refined,Ki,<=
1d4p,6.30,refined,Kd,=
2weo,6.93,refined,Kd,=
4io3,6.06,refined,Kd,=
4v24,8.37,refined,Ki,=
3czv,7.80,refined,Ki,=
1k9s,6.52,refined,Ki,=
2y82,8.40,refined,Ki,=
3ibu,9.15,refined,Ki,=
4yha,6.65,refined,Ki,=
1bxo,10.00,refined,Ki,=
2qwd,4.85,refined,Ki,=
4rqv,5.05,refined,Kd,=
1f57,5.64,refined,Ki,=
3prs,7.82,refined,Ki,=
3pd8,6.46,refined,Ki,=
1n3i,8.89,refined,Ki,=
3zm9,7.42,refined,Kd,=
3d78,7.64,refined,Kd,=
1bju,4.80,refined,Ki,=
3qbc,4.97,refined,Kd,=
4twp,10.00,refined,Ki,=
3p8n,9.28,refined,Ki,=
3k1j,6.40,refined,Kd,=
5aut,5.17,refined,Kd,=
2glp,5.01,refined,Ki,=
3vfa,9.19,refined,Ki,=
4kzu,6.50,refined,Ki,=
3c4h,5.70,refined,Kd,=
4cmo,9.07,refined,Ki,=
4gql,9.59,refined,Ki,=
2cer,9.22,refined,Ki,<=
4nra,4.19,refined,Kd,=
4qf9,4.43,refined,Ki,=
3e5a,8.23,refined,Ki,=
2r9x,4.85,refined,Ki,=
2qrh,4.71,refined,Ki,=
4kx8,7.13,refined,Ki,=
4dzy,5.62,refined,Kd,=
3ebh,6.32,refined,Ki,=
1nfu,7.74,refined,Ki,=
3i51,7.70,refined,Ki,=
2xj2,7.18,refined,Kd,=
3d91,9.15,refined,Ki,=
3e3c,5.62,refined,Kd,=
1g45,8.64,refined,Kd,=
1cps,6.66,refined,Ki,=
3fwv,5.64,refined,Kd,=
2uy5,5.49,refined,Ki,=
3fvl,6.07,refined,Ki,=
3lpi,8.52,refined,Ki,=
5btx,3.55,refined,Kd,=
2xyd,6.82,refined,Ki,=
1sgu,5.37,refined,Ki,=
3rm9,4.77,refined,Kd,=
4bs0,5.70,refined,Ki,=
2csn,4.41,refined,Ki,=
1odj,4.10,refined,Kd,=
2bys,9.52,refined,Kd,=
3dx2,6.82,refined,Ki,=
4jym,5.04,refined,Kd,=
3q2j,4.18,refined,Ki,=
1yet,5.92,refined,Kd,=
4pp5,7.74,refined,Kd,=
2q89,6.30,refined,Kd,=
2q6f,5.44,refined,Ki,=
3qw5,6.45,refined,Ki,=
1rmz,8.00,refined,Kd,=
4e1k,6.30,refined,Kd,=
4b76,4.54,refined,Kd,=
4owm,2.96,refined,Ki,=
3s9e,5.13,refined,Ki,=
4qrh,5.15,refined,Ki,=
1ugp,2.89,refined,Ki,=
2iko,5.45,refined,Kd,=
4i8n,4.46,refined,Ki,=
4bcm,6.91,refined,Ki,=
3hvk,8.52,refined,Ki,=
3ekr,7.52,refined,Ki,=
3r24,5.25,refined,Kd,=
1atl,6.28,refined,Ki,=
3i6o,10.35,refined,Ki,=
4q81,3.02,refined,Ki,=
3bex,5.57,refined,Kd,=
3ta0,3.47,refined,Kd,=
2fqy,6.57,refined,Kd,=
4ibd,3.67,refined,Kd,=
1li6,3.80,refined,Kd,=
4k0y,7.82,refined,Ki,=
2nmx,5.57,refined,Kd,=
2pyi,3.75,refined,Ki,=
4z0q,8.17,refined,Ki,=
4fcf,8.62,refined,Ki,=
2vuk,3.90,refined,Kd,=
1ceb,6.00,refined,Kd,=
1nhu,5.66,refined,Ki,=
4pg9,7.80,refined,Kd,=
4q7s,4.42,refined,Ki,=
4bah,8.70,refined,Ki,=
2jh5,6.44,refined,Ki,=
1pfu,2.72,refined,Kd,=
4w9c,4.65,refined,Kd,=
3ppr,2.82,refined,Kd,=
2ca8,4.66,refined,Kd,=
3ppq,4.55,refined,Kd,=
3oy8,3.66,refined,Kd,=
4lkk,5.92,refined,Kd,=
3d9z,8.70,refined,Ki,=
3qyy,5.08,refined,Kd,=
4msc,5.96,refined,Ki,=
1xk5,6.00,refined,Kd,=
2ojg,5.64,refined,Ki,=
2f35,5.40,refined,Kd,=
1e1v,4.92,refined,Ki,=
1r1j,8.64,refined,Ki,=
3t2q,3.66,refined,Ki,=
3zyu,7.00,refined,Kd,=
4pf5,5.48,refined,Kd,=
3buh,3.66,refined,Kd,=
4x50,7.75,refined,Kd,=
4q3t,6.48,refined,Kd,=
4a7i,8.70,refined,Ki,=
3n7o,7.14,refined,Ki,=
3m36,9.82,refined,Ki,=
3mtw,7.04,refined,Ki,=
1hyo,4.07,refined,Ki,=
4abg,3.57,refined,Kd,=
1bn3,9.89,refined,Kd,=
1ec0,8.49,refined,Ki,=
3cyz,7.22,refined,Kd,=
4ipi,5.32,refined,Kd,=
3aho,7.05,refined,Ki,=
1izh,7.70,refined,Ki,=
2zx8,9.64,refined,Ki,=
1e2k,4.94,refined,Ki,=
4elg,8.16,refined,Ki,=
3oil,5.68,refined,Ki,=
3t08,3.04,refined,Ki,=
2p7a,6.10,refined,Kd,=
4ks1,8.82,refined,Ki,=
3c52,7.30,refined,Ki,=
4lm1,3.23,refined,Ki,=
4qgi,3.90,refined,Ki,=
1msn,9.09,refined,Kd,=
4b6o,7.00,refined,Ki,=
4g4p,6.89,refined,Kd,=
4ykj,4.43,refined,Ki,=
2ygf,5.09,refined,Kd,=
2yix,8.48,refined,Kd,=
3aqt,6.72,refined,Kd,=
3b7u,7.74,refined,Ki,=
4ipj,4.87,refined,Kd,=
3zsy,3.23,refined,Kd,=
1k4g,5.85,refined,Ki,=
2wer,7.05,refined,Kd,=
3dp9,9.68,refined,Kd,=
2dri,6.89,refined,Kd,=
2std,9.85,refined,Ki,=
2qw1,3.90,refined,Ki,=
1nje,3.80,refined,Kd,=
1t32,7.42,refined,Ki,=
3d7k,4.60,refined,Kd,=
4x6i,8.00,refined,Ki,=
3sxf,8.60,refined,Ki,=
4de0,5.89,refined,Ki,=
2zz1,4.54,refined,Ki,=
3u81,4.44,refined,Ki,=
4efs,8.60,refined,Ki,=
2vfk,3.71,refined,Kd,=
1y20,5.32,refined,Ki,=
1rnm,3.07,refined,Ki,=
5dwr,11.22,refined,Ki,=
4ih7,5.24,refined,Kd,=
2r0h,3.51,refined,Kd,=
3sio,8.00,refined,Ki,=
4mrz,3.52,refined,Ki,=
1yc4,6.55,refined,Kd,=
2c3l,5.07,refined,Ki,=
1o5g,4.96,refined,Ki,=
2q7y,4.30,refined,Kd,=
3wtl,7.04,refined,Kd,=
3mv0,3.85,refined,Ki,=
3b7j,5.17,refined,Ki,=
4xt2,7.15,refined,Kd,=
1o2n,6.09,refined,Ki,=
4hfp,7.38,refined,Kd,=
3s0d,7.05,refined,Kd,=
3hkw,8.64,refined,Kd,=
4deu,5.64,refined,Kd,=
1nw7,5.09,refined,Kd,=
4lyw,6.63,refined,Kd,=
1bma,4.59,refined,Ki,=
1d2e,6.00,refined,Kd,=
3p5l,7.39,refined,Ki,=
3eb1,4.79,refined,Ki,=
3k8q,11.28,refined,Kd,=
1fhd,6.82,refined,Ki,=
1li3,4.25,refined,Kd,=
1b3g,6.70,refined,Kd,=
3eko,6.70,refined,Ki,=
3ni5,7.55,refined,Ki,=
2f94,6.71,refined,Ki,=
4xiq,7.07,refined,Ki,=
4cp7,8.11,refined,Ki,=
3m8t,4.00,refined,Ki,=
3hzk,6.70,refined,Kd,=
3upk,4.30,refined,Kd,=
3a1s,4.83,refined,Kd,=
1jet,7.25,refined,Kd,=
2aoc,4.89,refined,Ki,=
1qb9,7.44,refined,Ki,=
1uz4,3.40,refined,Ki,=
4x6o,8.72,refined,Ki,=
1oyq,6.96,refined,Ki,=
1c5o,3.49,refined,Ki,=
1a1e,6.00,refined,Kd,=
3vfb,9.04,refined,Ki,=
4kxb,4.12,refined,Ki,=
4fxp,4.09,refined,Kd,=
2rin,4.00,refined,Kd,=
4q7p,4.32,refined,Ki,=
3tfp,6.47,refined,Ki,=
1h6h,5.30,refined,Kd,=
4iva,7.16,refined,Ki,=
1q54,5.85,refined,Ki,=
2gkl,5.35,refined,Ki,=
2pv1,7.14,refined,Kd,=
6std,8.64,refined,Ki,=
4c6u,4.59,refined,Kd,=
3nu3,9.82,refined,Ki,=
2rk8,3.64,refined,Ki,=
1wdn,6.30,refined,Kd,=
4jpx,5.15,refined,Kd,=
4qpd,7.82,refined,Kd,=
2uy4,4.68,refined,Ki,=
3hkq,5.34,refined,Ki,=
1o5r,8.12,refined,Ki,=
4oks,4.48,refined,Kd,=
4aba,3.82,refined,Kd,=
3oy0,8.00,refined,Ki,=
3l1n,5.63,refined,Kd,=
5aoj,4.68,refined,Kd,=
1f5l,5.28,refined,Ki,=
1ppk,7.66,refined,Ki,=
2evl,6.70,refined,Kd,=
4ad6,4.78,refined,Kd,=
3bf1,2.52,refined,Kd,=
3hx3,8.00,refined,Kd,=
3ouj,6.05,refined,Kd,=
1gaf,8.00,refined,Kd,=
2hhn,7.49,refined,Ki,=
1add,6.74,refined,Ki,=
1v2w,4.01,refined,Ki,=
4cd4,6.58,refined,Ki,=
3t85,7.95,refined,Ki,=
2vwc,6.62,refined,Kd,=
4bck,8.40,refined,Ki,=
1mfa,5.04,refined,Kd,=
3e6y,5.60,refined,Kd,=
3wz6,5.96,refined,Ki,=
2y81,8.70,refined,Ki,=
2x6x,3.68,refined,Kd,=
2vvu,8.10,refined,Ki,=
3n7h,4.50,refined,Kd,=
4zek,5.66,refined,Kd,=
3m8u,4.89,refined,Kd,=
3pwk,3.35,refined,Ki,=
3ta1,3.25,refined,Kd,=
1utm,3.01,refined,Kd,=
2rkf,9.08,refined,Ki,=
1ejn,5.62,refined,Ki,=
1lzq,8.39,refined,Ki,=
1hi5,4.04,refined,Ki,=
2zq0,6.82,refined,Ki,=
2gl0,4.82,refined,Kd,=
3iod,4.10,refined,Kd,=
2yi7,8.32,refined,Kd,=
3p9t,6.20,refined,Kd,=
1i00,6.34,refined,Ki,=
4hu1,7.54,refined,Kd,=
185l,3.54,refined,Kd,=
2vjx,4.96,refined,Ki,=
3s72,6.40,refined,Kd,=
3bzf,4.52,refined,Kd,=
1yds,5.92,refined,Ki,=
3dnd,4.80,refined,Ki,=
3rz0,7.55,refined,Kd,=
1hdq,5.82,refined,Ki,=
1lyx,4.54,refined,Ki,=
188l,3.33,refined,Kd,=
1ur9,5.77,refined,Ki,=
3hll,8.24,refined,Ki,=
2ra6,4.52,refined,Kd,=
3drf,7.00,refined,Kd,=
4ge1,6.43,refined,Kd,=
4jx9,8.62,refined,Kd,=
2fzg,3.38,refined,Ki,=
4bf1,8.62,refined,Ki,=
3vjc,7.72,refined,Kd,=
4elf,8.03,refined,Ki,=
2gsu,3.59,refined,Ki,=
5d1r,4.84,refined,Kd,=
3m3c,4.06,refined,Kd,=
1izi,6.59,refined,Ki,=
2qd8,9.07,refined,Ki,=
3su1,6.68,refined,Ki,=
3m3o,3.60,refined,Kd,=
4mc6,9.59,refined,Ki,=
4m3p,5.40,refined,Kd,=
2hmv,7.70,refined,Kd,=
2v2h,3.77,refined,Ki,=
4jpy,4.43,refined,Kd,=
4alx,7.28,refined,Ki,=
1c88,5.29,refined,Ki,=
1g7v,6.40,refined,Kd,=
3m3e,4.43,refined,Kd,=
