pdbcode,-log[Ki or Kd or IC50],dataset,binding constant type,data sign
3c84,7.85,general,Kd,=
4f6v,5.80,general,IC50,=
2p4s,9.51,general,Ki,=
4q4s,6.95,general,Kd,=
2emt,6.70,general,Kd,=
4jnm,8.52,general,IC50,=
4nyt,2.39,general,Kd,=
4wr8,6.23,general,Ki,=
4old,2.70,general,Ki,>
4fcb,8.54,general,IC50,=
3nam,8.46,general,Kd,=
3pab,4.70,general,Kd,=
2v0c,5.68,general,IC50,=
4q18,6.13,general,Ki,=
3eoc,6.64,general,IC50,=
3nf6,3.53,general,IC50,=
2hvx,7.54,general,IC50,=
6rnt,2.37,general,Kd,=
1fh9,6.43,general,Ki,=
1bji,8.70,general,IC50,=
1fl6,7.43,general,Kd,=
4i6f,8.30,general,IC50,=
2zm1,6.66,general,IC50,=
3kme,6.14,general,Ki,=
1pu8,3.10,general,Ki,=
1ros,8.77,general,IC50,=
2nmb,6.28,general,Kd,=
3ghe,5.89,general,Kd,=
1u1w,5.85,general,Kd,=
3fpd,6.15,general,IC50,=
4q9y,5.68,general,Ki,=
3r22,7.77,general,IC50,=
4alw,7.57,general,IC50,=
3nex,6.00,general,Kd,=
4jps,8.30,general,IC50,=
3ocp,7.57,general,Kd,=
4bsq,9.15,general,IC50,=
5akz,5.26,general,IC50,=
1lhf,8.09,general,Ki,=
3p79,5.64,general,IC50,=
3iiy,4.80,general,Kd,=
2vtr,5.82,general,IC50,=
2fuu,5.57,general,Kd,=
3ryv,7.07,general,Kd,=
1q1y,7.70,general,IC50,=
2xn7,10.00,general,Kd,<
3qfz,3.24,general,Ki,=
3m2u,7.00,general,Ki,=
4n4s,6.88,general,Ki,=
3ary,6.00,general,Kd,=
4whz,9.00,general,IC50,<
3g2t,7.00,general,Kd,=
2y4k,5.46,general,Kd,=
1bl6,6.80,general,IC50,=
1q41,7.66,general,IC50,=
2znt,9.30,general,Ki,=
4i74,6.72,general,Ki,=
1ent,6.96,general,Ki,=
3p4v,5.10,general,Ki,=
1qon,8.96,general,Ki,=
4ua8,6.26,general,Kd,=
1t1r,5.40,general,IC50,=
4qtn,6.85,general,Kd,=
4igt,7.89,general,Kd,=
4ppc,9.03,general,Ki,=
3ejp,8.55,general,Ki,=
3vbq,9.33,general,IC50,=
3iqv,5.18,general,Kd,=
3ztc,4.56,general,Kd,=
1xom,7.96,general,IC50,=
4lbp,4.94,general,Kd,=
4m1j,9.70,general,Ki,=
3qaa,11.54,general,Ki,=
3opr,6.59,general,Ki,=
3isw,4.05,general,Kd,=
4oef,4.76,general,Kd,=
3qqu,8.62,general,IC50,=
3qj0,5.20,general,Ki,=
3ii5,7.62,general,IC50,=
2yme,7.66,general,Kd,=
1t69,6.32,general,Ki,=
2g1y,7.05,general,IC50,=
4ieh,7.85,general,Kd,=
3ga5,5.49,general,Kd,=
4utx,5.24,general,Kd,=
5eay,4.47,general,Kd,=
3b9s,5.30,general,IC50,=
3dcs,7.94,general,Ki,=
4rcf,8.40,general,IC50,=
2gg0,5.77,general,IC50,=
4cd1,4.89,general,Ki,=
3abu,5.62,general,Ki,=
1cka,5.72,general,Kd,=
5a2j,5.85,general,Kd,=
2xgs,3.28,general,Kd,=
2w6p,6.48,general,IC50,=
1tr7,6.82,general,Kd,=
4mi3,4.12,general,Ki,=
3mj2,7.82,general,IC50,=
2vew,7.19,general,IC50,=
5d9l,7.62,general,IC50,=
4ehe,8.49,general,IC50,=
4cg8,6.96,general,Kd,=
2zx5,12.33,general,Kd,=
2pvk,8.30,general,Ki,=
2asu,9.00,general,Kd,=
2vo4,4.94,general,Kd,=
2kmx,4.08,general,Kd,=
4l7u,5.66,general,IC50,=
4avj,7.44,general,Kd,=
1sqo,7.46,general,Ki,=
4why,8.10,general,Kd,=
1qku,9.59,general,Kd,=
1gj6,7.00,general,Ki,=
2xxt,8.05,general,Kd,=
1xnx,6.38,general,Ki,=
3dla,3.46,general,Kd,=
5c8k,7.70,general,Ki,=
4lrh,9.72,general,Kd,=
2w9i,7.48,general,Ki,=
1c6y,9.51,general,Ki,=
1wdr,2.52,general,Kd,=
3rup,1.57,general,Ki,=
3wt5,9.54,general,IC50,=
2xzw,5.29,general,Kd,=
3kfa,7.60,general,IC50,=
3sjo,5.78,general,IC50,=
3shv,6.66,general,Kd,=
2wyj,9.00,general,Ki,=
3vf7,9.10,general,Ki,=
3qtr,6.03,general,IC50,=
3ow3,6.13,general,IC50,=
4km0,6.04,general,Kd,=
4jbl,3.27,general,Kd,=
3tz0,5.04,general,Kd,=
3udr,4.96,general,IC50,=
2p9a,5.18,general,IC50,=
1x7r,8.05,general,IC50,=
1a28,8.29,general,Ki,=
4rak,7.85,general,Ki,=
3ps1,10.17,general,Ki,=
4oew,6.82,general,Kd,=
5brn,6.30,general,Ki,=
4mf0,8.08,general,Ki,=
3p9l,5.30,general,Kd,=
1ydr,5.52,general,Ki,=
4y79,7.96,general,Ki,=
3u93,6.31,general,Ki,=
1l6m,8.10,general,Kd,=
1o2y,5.85,general,Ki,=
3ppo,5.30,general,Kd,=
2z7i,7.00,general,IC50,=
4kqq,3.90,general,IC50,=
1std,10.33,general,Ki,=
2qaf,5.36,general,IC50,=
3km4,8.89,general,IC50,=
2ydf,7.66,general,Kd,=
2df6,5.98,general,Kd,=
3dg8,4.70,general,IC50,=
4cc6,6.64,general,IC50,=
3u2k,7.52,general,IC50,=
2yjw,5.12,general,IC50,=
3oj8,8.36,general,Kd,=
4cwt,6.75,general,Ki,=
3ewz,4.10,general,IC50,=
1jm4,5.00,general,Kd,=
2aj8,6.20,general,Ki,=
2rfy,5.22,general,Kd,=
3qiz,5.21,general,Ki,=
2nq6,5.82,general,IC50,=
6cpa,11.52,general,Ki,=
4qew,7.07,general,Kd,=
3hb8,5.12,general,Kd,=
4x7h,7.38,general,IC50,=
1qb1,6.77,general,Ki,=
4fm7,7.24,general,Kd,=
4n9c,3.90,general,Kd,=
1ths,7.54,general,IC50,=
4fzg,7.72,general,IC50,=
4z7n,5.04,general,Kd,=
3ikd,6.75,general,Ki,=
1mrs,3.96,general,Ki,=
3hrb,7.68,general,IC50,=
1i48,5.70,general,Ki,=
1nkm,7.30,general,IC50,<
2y1x,7.57,general,IC50,=
3m58,5.48,general,Kd,=
2g0g,6.29,general,IC50,=
3qwc,4.26,general,Ki,=
4xqa,4.99,general,Kd,=
3e5u,5.85,general,Kd,=
4bib,6.60,general,IC50,=
2k46,4.58,general,Kd,=
3aje,5.03,general,Kd,=
1v2p,4.73,general,Ki,=
3vhd,9.28,general,Kd,=
2m3m,5.02,general,Kd,=
1ym4,7.41,general,IC50,=
3n46,4.30,general,IC50,=
2w0z,4.03,general,Kd,=
1ikx,8.15,general,IC50,=
1o9e,4.18,general,Kd,=
1uwt,5.97,general,Ki,=
1gyy,3.64,general,Ki,=
2xel,3.90,general,IC50,=
3c1k,9.44,general,Ki,=
1nlo,5.47,general,Kd,=
1z3v,4.11,general,Kd,=
4k5p,3.46,general,Ki,=
2ggb,4.92,general,IC50,=
3nsn,7.19,general,Ki,=
1ag9,9.00,general,Kd,=
3r7r,8.74,general,IC50,=
1qcp,7.52,general,Ki,=
4hfz,5.72,general,Kd,=
1kat,6.00,general,IC50,=
2rjs,2.28,general,IC50,=
1xh3,5.51,general,IC50,=
1fcx,7.19,general,Kd,=
3ivx,5.74,general,Kd,=
3i3d,1.99,general,Ki,=
1tsy,4.96,general,Kd,=
1hgi,2.68,general,Kd,=
3cyw,7.77,general,Ki,=
4ojq,3.30,general,IC50,=
1cbx,6.35,general,Ki,=
4exg,8.07,general,IC50,=
4cgj,2.84,general,Kd,=
1qaq,4.74,general,Ki,=
2vtp,8.52,general,IC50,=
1ym1,6.24,general,Ki,=
3bgz,6.26,general,Ki,=
3ara,6.49,general,IC50,=
2b1p,8.52,general,IC50,=
1zz1,6.02,general,IC50,=
5ab0,7.59,general,IC50,=
5ahu,6.78,general,Kd,=
3lfs,5.60,general,IC50,=
4mgv,7.12,general,IC50,=
2hmh,7.15,general,Kd,=
1b6h,7.82,general,Kd,=
4ylk,6.74,general,IC50,=
4n1z,9.14,general,Ki,=
1vrt,7.10,general,IC50,=
3qcx,7.20,general,IC50,=
4r0a,4.26,general,Kd,=
2va5,4.07,general,IC50,=
1gwr,6.60,general,Kd,=
3r4m,5.92,general,Ki,=
3f8s,7.89,general,IC50,=
2fts,7.05,general,Kd,=
3own,7.47,general,Ki,=
2w8j,2.96,general,Kd,=
2nsx,7.20,general,IC50,=
4y8x,8.43,general,Ki,=
1fzj,8.10,general,Kd,=
1xb7,6.22,general,Kd,=
2x6d,7.92,general,IC50,=
3gpj,5.11,general,Ki,=
4cr5,4.15,general,Ki,=
3tww,5.38,general,Kd,=
4dbm,7.62,general,Kd,=
4qws,6.50,general,IC50,=
3bi1,9.92,general,IC50,=
2ajd,10.80,general,Ki,=
3ekp,8.89,general,Kd,=
1kqb,4.00,general,Ki,=
3p3j,7.92,general,Ki,=
1ce5,4.74,general,Ki,=
4z8a,4.76,general,Kd,=
1gx8,6.37,general,Kd,=
4elh,8.09,general,Ki,=
3oof,7.30,general,IC50,=
4tnw,3.78,general,Ki,~
1uy6,3.70,general,IC50,>
3s2a,8.09,general,IC50,=
1a61,8.62,general,Ki,=
4ruy,7.89,general,Ki,=
2wxg,9.15,general,IC50,=
3aw0,5.24,general,IC50,=
3p0g,10.08,general,Kd,=
3nc9,6.48,general,IC50,=
4tzq,6.52,general,Kd,=
3wb4,4.44,general,Kd,=
2cji,8.22,general,Ki,=
2j7b,6.62,general,Kd,=
1tng,2.93,general,Ki,=
4qw1,6.11,general,IC50,=
2y8q,5.82,general,Kd,=
3aru,3.22,general,Kd,=
4ts1,4.94,general,Kd,=
4ogt,10.00,general,IC50,=
3lil,8.08,general,Ki,=
1t37,4.35,general,Kd,=
1thl,6.42,general,Ki,=
4bo6,6.74,general,IC50,=
4dcv,4.59,general,Kd,=
2za3,3.68,general,Ki,=
3wmc,6.51,general,Ki,=
2vh0,8.51,general,Ki,=
4k9g,5.82,general,IC50,=
4fmn,6.10,general,Kd,=
1jws,4.85,general,Kd,=
4glw,6.10,general,Kd,=
3dnt,4.74,general,Kd,=
2q92,5.96,general,IC50,=
3ftz,2.70,general,IC50,>
1kpm,5.80,general,Ki,=
2zo3,10.00,general,Ki,=
2v0n,6.30,general,Ki,=
3ccw,7.87,general,Kd,=
3g2l,3.87,general,Ki,=
4epy,3.47,general,Kd,=
3bl0,6.92,general,Ki,=
1tka,6.10,general,Kd,=
3p9j,7.51,general,IC50,=
1xlz,6.02,general,IC50,=
2w6n,6.90,general,IC50,=
1zog,7.15,general,Ki,=
4tz2,3.46,general,Kd,=
4bj8,8.29,general,Kd,=
4umj,5.57,general,IC50,=
2y59,6.44,general,Ki,=
4i4e,6.30,general,IC50,=
3fui,6.80,general,IC50,=
2ce9,6.03,general,Kd,=
2vwx,7.40,general,IC50,=
1pu7,3.10,general,Ki,=
3v5q,7.40,general,IC50,=
1gi4,7.19,general,Ki,=
3gk4,3.92,general,Kd,=
3nee,5.34,general,Kd,=
3a29,7.89,general,IC50,=
3gl6,4.68,general,Kd,=
4nvq,8.48,general,IC50,=
1zuc,8.77,general,IC50,=
4ngt,8.41,general,Ki,=
4ygf,7.68,general,Ki,=
1y57,5.79,general,IC50,=
4exs,4.41,general,Ki,=
3n9s,5.26,general,Kd,=
3g34,2.96,general,Ki,=
4bg6,7.16,general,Kd,=
4h39,6.68,general,IC50,=
3rf4,6.25,general,Ki,=
3nu4,8.82,general,Ki,=
3wc5,8.70,general,IC50,=
3veu,7.26,general,IC50,=
4rll,5.02,general,IC50,=
4h3q,5.10,general,Kd,=
4w4x,6.99,general,IC50,=
4gzx,3.19,general,Kd,=
5dj5,5.60,general,IC50,=
3kek,8.36,general,Ki,=
2al5,8.40,general,Ki,=
2hxq,6.84,general,IC50,=
1n1t,3.85,general,Ki,=
2zsc,7.06,general,Kd,=
3g45,8.36,general,IC50,=
4fab,8.06,general,Kd,=
2b1z,7.10,general,IC50,=
3d0e,8.40,general,Ki,=
2ctc,3.89,general,Ki,=
1x7a,7.89,general,Ki,=
4uy1,4.70,general,IC50,=
3vi2,3.77,general,IC50,=
2ph8,5.74,general,IC50,=
3mtb,4.63,general,IC50,=
3w2t,7.53,general,IC50,=
2v3u,3.00,general,Kd,=
4yuy,3.34,general,IC50,=
2xtk,3.79,general,IC50,=
4er2,9.30,general,Ki,=
4ptc,8.96,general,IC50,=
4knz,5.07,general,Kd,=
2h6t,7.22,general,Ki,=
3kah,6.59,general,IC50,=
4tyl,3.22,general,Kd,=
4al4,6.89,general,Kd,=
1uou,7.70,general,Ki,=
4jvq,6.20,general,IC50,=
2gg8,4.60,general,IC50,=
4rcg,5.03,general,Kd,=
4e3h,7.05,general,Ki,=
3rt8,6.35,general,Ki,=
4acu,7.39,general,IC50,=
4k9h,7.12,general,IC50,=
3s22,5.46,general,IC50,=
4yat,5.03,general,IC50,=
1bnt,9.80,general,Kd,=
4yqh,8.05,general,IC50,=
4qp2,3.03,general,Kd,=
4in9,4.97,general,Ki,=
3ml2,8.05,general,Ki,=
4k7o,4.30,general,Kd,=
3zj8,3.90,general,Ki,=
4jmg,8.82,general,Kd,=
4mcc,6.25,general,IC50,=
3f5k,4.62,general,Ki,=
2oaz,8.70,general,Ki,=
4a0j,6.00,general,Kd,=
1ztq,8.89,general,IC50,=
3h0s,6.20,general,IC50,=
3m35,7.22,general,Ki,=
3u9n,7.00,general,Kd,<
2zjv,5.14,general,Kd,=
4b8y,8.05,general,Kd,=
3li2,9.00,general,Kd,~
1ggd,5.80,general,Kd,=
3cjo,8.66,general,IC50,=
4kiu,3.85,general,Ki,=
4tt2,4.66,general,Kd,=
2w7y,6.08,general,Kd,=
3dcq,5.23,general,IC50,=
1q9d,4.60,general,Kd,=
4jls,5.66,general,Ki,=
2e99,6.16,general,IC50,=
2a3i,6.05,general,IC50,=
5bwc,7.21,general,Ki,=
3rj7,7.60,general,Ki,=
4j46,5.28,general,Ki,=
1qvt,4.38,general,Kd,=
4yee,6.49,general,Kd,=
2ci9,7.22,general,Kd,=
1yrs,6.35,general,IC50,=
3v9b,9.30,general,IC50,=
4kwf,4.82,general,Ki,=
4e3b,6.05,general,Ki,=
4idz,4.36,general,IC50,=
4tkb,5.59,general,Kd,=
1a7c,4.00,general,Kd,<=
1g98,5.70,general,Ki,=
1q4l,7.40,general,Kd,=
1ujk,6.57,general,Kd,=
3rmf,4.09,general,IC50,=
2fgh,6.55,general,Kd,=
5e13,4.24,general,Ki,=
3hmo,7.52,general,Kd,=
4q9m,7.18,general,Kd,=
3hkn,5.35,general,Ki,=
3o9c,12.05,general,Ki,=
3khv,1.85,general,Ki,=
4pxf,3.10,general,Kd,=
4gah,6.10,general,Kd,=
3ewh,7.16,general,IC50,=
4amy,10.82,general,Ki,=
2y2n,4.57,general,IC50,=
4llx,2.89,general,Ki,=
2rny,3.66,general,Kd,=
3e1r,5.82,general,Kd,=
4hy1,8.70,general,Ki,=
4hw2,7.26,general,Ki,=
4fcm,3.94,general,Kd,=
1y2b,4.09,general,IC50,=
2byr,8.55,general,Kd,=
2aeb,8.30,general,Kd,=
4g3f,8.36,general,Ki,=
4few,5.21,general,Ki,=
2j7e,7.32,general,Kd,=
3qts,5.51,general,IC50,=
2e9o,7.70,general,IC50,=
2bgr,3.60,general,Ki,=
4i3z,4.29,general,Kd,=
3aza,5.13,general,IC50,=
3re4,7.40,general,Kd,=
3up2,7.40,general,Kd,=
1koj,6.70,general,Ki,=
4l50,6.06,general,Kd,=
1zzz,5.14,general,Ki,=
4y2j,3.10,general,IC50,=
4ewn,6.70,general,Kd,=
1t48,3.46,general,IC50,=
3tll,4.39,general,Ki,=
5ea7,7.96,general,Kd,=
4dwb,5.74,general,IC50,=
1c85,4.64,general,Ki,=
2bdj,9.35,general,IC50,=
1atr,6.96,general,Kd,=
5dhh,9.18,general,Ki,=
3bl9,7.18,general,IC50,=
1c3b,7.57,general,Ki,=
4c3k,4.97,general,Kd,=
7cpa,13.96,general,Ki,=
2vj1,5.30,general,IC50,=
2x2k,6.52,general,IC50,=
187l,3.37,general,Kd,=
3hdm,7.40,general,IC50,=
1q72,6.85,general,Kd,=
4uxl,10.60,general,Ki,<
3zqt,4.41,general,IC50,=
4q46,3.77,general,Kd,=
3d1v,3.49,general,Kd,=
1w0y,6.42,general,Ki,=
4z7i,8.11,general,IC50,=
3fu3,2.84,general,IC50,=
2z8e,8.00,general,Kd,=
4zj4,8.10,general,Ki,=
2weq,5.90,general,Kd,=
4gsc,5.85,general,IC50,=
4dpi,7.11,general,IC50,=
4htx,8.33,general,IC50,=
3dy6,6.90,general,IC50,=
2aie,5.66,general,IC50,=
4h58,6.72,general,IC50,=
2viw,7.14,general,IC50,=
3avk,3.30,general,IC50,>
3v8s,6.19,general,IC50,=
4yzn,4.81,general,IC50,=
3ard,6.76,general,Kd,=
3svv,6.94,general,IC50,=
3nkk,4.70,general,Kd,=
4x7j,7.39,general,IC50,=
4dgb,3.89,general,Kd,=
3tl0,6.59,general,Kd,=
4mg5,5.34,general,Kd,=
1em6,8.22,general,IC50,=
1z3t,3.94,general,Kd,=
1i7g,6.00,general,IC50,=
3cd5,7.90,general,Kd,=
1yvh,7.37,general,Kd,=
4b5d,7.89,general,Ki,=
4jmh,8.68,general,Kd,=
1gj4,4.07,general,Ki,=
3b8z,6.54,general,IC50,=
3atm,3.06,general,IC50,=
3sl0,2.70,general,Ki,=
5er2,6.57,general,Ki,=
4fai,6.99,general,Ki,=
3avj,3.30,general,IC50,>
1haa,8.70,general,IC50,=
3gk1,4.10,general,Kd,=
4b13,5.70,general,IC50,=
1b0h,6.70,general,Kd,=
2jld,10.40,general,IC50,<
4gu6,7.36,general,Kd,=
3rwf,6.52,general,IC50,=
1yci,4.08,general,Ki,=
3arz,6.00,general,Kd,=
4djq,10.32,general,Ki,=
2wot,7.36,general,IC50,=
4e35,4.62,general,Ki,=
3efs,5.34,general,Kd,=
3dc3,8.31,general,Ki,=
3rz3,5.76,general,IC50,=
3zln,8.47,general,Kd,=
4x9r,7.82,general,IC50,=
2i0e,8.70,general,Ki,=
3lpp,6.22,general,Ki,=
2vaq,8.52,general,IC50,=
1al7,7.80,general,Ki,=
2isv,7.43,general,Ki,=
3ft2,7.36,general,IC50,=
1zlw,5.89,general,Kd,=
4mmp,7.71,general,Kd,=
1y0l,9.00,general,Kd,=
1y3g,7.40,general,Ki,=
4fl1,3.28,general,Kd,=
4og4,6.02,general,Kd,=
4kiw,5.12,general,Ki,=
4qr5,7.22,general,IC50,=
1a5v,3.10,general,IC50,=
2hy0,9.19,general,IC50,=
4jpe,7.32,general,IC50,=
4cq0,5.09,general,Ki,=
4lp0,8.00,general,IC50,<
4lm5,6.82,general,IC50,=
1pmu,6.23,general,IC50,=
4phv,9.17,general,IC50,=
2ccs,5.70,general,IC50,=
3e73,3.15,general,Kd,=
4qaa,6.44,general,Kd,=
4cwr,8.30,general,Ki,=
3mxr,4.95,general,Ki,=
2p8s,7.68,general,IC50,=
2aw1,7.37,general,Ki,=
2w3l,7.52,general,IC50,=
2xdk,3.60,general,Kd,=
5acy,8.19,general,Kd,=
4mbp,5.64,general,Ki,=
4k5o,3.98,general,Ki,=
2xb7,9.19,general,Ki,=
2onb,5.57,general,Ki,=
6lpr,7.30,general,Ki,=
2qtt,4.32,general,Ki,=
4jyv,7.77,general,Ki,=
1qwe,5.92,general,Kd,=
3nba,3.41,general,Ki,=
2i3i,7.30,general,Ki,=
3nw6,8.15,general,IC50,=
3eio,6.65,general,IC50,=
4xx9,5.08,general,Kd,=
4e3m,9.70,general,Ki,=
1h8l,7.47,general,Ki,=
2w6o,4.22,general,IC50,=
3hfb,7.52,general,Ki,=
4rrs,6.68,general,IC50,=
1kuk,3.91,general,Ki,=
3a4p,7.55,general,IC50,=
1v0n,7.55,general,Ki,=
4jz1,6.70,general,Ki,=
1bm6,7.89,general,Ki,=
4oon,7.52,general,IC50,=
2z92,9.10,general,Kd,=
3zls,4.40,general,IC50,=
2iqg,8.30,general,IC50,=
4qlu,8.08,general,IC50,=
1jaq,4.48,general,Ki,=
1hee,5.34,general,Ki,=
4emr,7.49,general,Kd,=
3zcl,8.00,general,Ki,=
1hyz,3.42,general,IC50,=
220l,3.40,general,Kd,=
2bj4,4.47,general,Kd,=
4bb4,6.72,general,IC50,=
4xtz,9.82,general,Kd,=
1z6d,2.34,general,Ki,=
4j24,7.30,general,Ki,<
3f07,5.54,general,IC50,=
3fv3,9.52,general,Ki,=
2vh6,9.70,general,Ki,=
1dqx,11.05,general,Ki,=
3r2a,6.12,general,IC50,=
4at3,8.40,general,IC50,=
4wlb,6.74,general,IC50,=
4kz7,2.49,general,Ki,=
2j50,7.89,general,IC50,=
3d1z,8.80,general,Ki,=
3l9l,6.78,general,IC50,=
3pdc,7.49,general,IC50,=
3zrc,5.27,general,Kd,=
4byj,6.57,general,IC50,=
1hvs,10.30,general,Ki,=
3qx5,4.20,general,Ki,=
3deh,6.83,general,IC50,=
1qca,5.27,general,Ki,=
1f73,2.39,general,Ki,=
3s7l,7.10,general,IC50,=
1n1v,3.85,general,Ki,=
2c80,5.33,general,Kd,=
3nrz,5.34,general,Kd,=
4fp1,4.57,general,Ki,=
4wx6,9.00,general,IC50,<
4mm9,5.68,general,Ki,=
3ati,3.73,general,IC50,=
4tz8,3.30,general,Kd,=
4nyi,3.06,general,Kd,=
6fiv,8.08,general,Ki,=
3u7l,7.28,general,Ki,=
3dri,4.42,general,Kd,=
1gfy,5.08,general,Ki,=
5ab9,6.33,general,Kd,=
3mks,5.72,general,IC50,=
5abp,6.64,general,Kd,=
3kpw,4.85,general,Kd,=
3r04,6.92,general,IC50,=
3e4a,8.77,general,Ki,=
4zga,7.70,general,IC50,=
3fuc,9.72,general,Kd,=
1wbn,6.46,general,IC50,=
3unk,4.82,general,IC50,=
1jdj,2.30,general,IC50,=
4do3,4.10,general,IC50,=
4nwk,8.70,general,IC50,=
4k8a,4.02,general,Kd,=
2wnl,6.00,general,Kd,=
4kip,8.15,general,IC50,=
4av4,7.03,general,Kd,=
2pk5,10.70,general,Kd,=
3w9k,6.32,general,Kd,=
1c5x,6.68,general,Ki,=
1jut,7.32,general,Ki,=
1mu6,8.38,general,Ki,=
3vzd,6.30,general,IC50,~
1m9n,6.92,general,Ki,=
2ban,9.00,general,IC50,=
3unn,4.40,general,Kd,=
4gtp,7.94,general,IC50,=
4mwr,9.39,general,IC50,=
3sh1,7.39,general,Ki,=
1a1b,6.40,general,Kd,=
4r7m,7.96,general,Kd,=
3jzo,8.52,general,Kd,=
4lh3,1.52,general,Ki,=
3m6p,8.35,general,Kd,=
1cin,8.73,general,Ki,=
3gjw,8.30,general,Ki,=
3guz,4.38,general,Kd,=
4l0t,7.18,general,IC50,=
4mha,8.28,general,IC50,=
3zjv,6.27,general,IC50,=
4e5g,4.67,general,IC50,=
1lhg,7.10,general,Ki,=
3h1x,5.89,general,Kd,=
2cia,6.43,general,Kd,=
2ycr,7.16,general,IC50,=
4brx,6.49,general,IC50,=
4lko,8.22,general,Ki,=
4pow,6.30,general,Kd,=
3nnx,7.96,general,IC50,=
1ilh,7.39,general,Kd,=
4gs6,7.15,general,Ki,=
3l13,7.82,general,IC50,=
1m48,5.09,general,Kd,=
2qnq,6.11,general,Ki,=
3bvb,5.49,general,Kd,=
4iku,5.75,general,IC50,=
2k0x,5.68,general,Kd,=
4ayu,4.73,general,Kd,=
2z7r,9.52,general,IC50,=
1ftl,6.00,general,IC50,=
1o2h,7.17,general,Ki,=
3lp1,6.92,general,IC50,=
5boy,5.60,general,IC50,=
3ztd,4.02,general,Kd,=
3otf,6.08,general,Kd,=
5dd9,6.11,general,IC50,=
4r5v,6.15,general,Ki,=
2i5f,5.12,general,IC50,=
3v2w,7.11,general,Ki,=
4knb,7.33,general,IC50,=
1f4g,6.48,general,Ki,=
4i5h,8.70,general,Ki,<
4yvz,5.52,general,IC50,=
4isu,3.68,general,Ki,=
4o2b,5.74,general,Ki,=
1ntk,10.49,general,Kd,=
3mt7,4.03,general,IC50,=
3eig,7.68,general,Ki,=
4dk7,7.70,general,IC50,=
4xuz,7.36,general,Ki,=
4uyh,6.30,general,IC50,=
3wqh,8.48,general,IC50,=
3gc4,7.60,general,Ki,=
3cso,5.77,general,Ki,=
4trc,4.52,general,Kd,=
4w4z,7.52,general,Kd,=
4ea2,6.44,general,Ki,=
3wtm,7.00,general,Kd,=
3odk,3.14,general,IC50,=
3r5m,4.34,general,Kd,=
1w9v,6.34,general,Kd,=
1d9i,9.11,general,Ki,=
2o4z,6.25,general,Ki,=
1zp5,2.92,general,IC50,=
2ica,7.70,general,IC50,=
3wsy,6.36,general,Kd,=
1qja,6.38,general,Kd,=
2wqp,5.51,general,Ki,=
2w5i,4.54,general,Ki,=
4d09,8.77,general,IC50,=
4lke,5.37,general,Kd,=
1wm1,6.30,general,Ki,=
5d12,7.37,general,IC50,=
4l33,8.15,general,IC50,=
3pxy,5.23,general,IC50,=
3ucj,6.00,general,Ki,=
